ocu_periodo;ocu_indicador;ocu_valor
201008;OCUPA_HOTELERA;54.42
201007;OCUPA_HOTELERA;55.74
201006;OCUPA_HOTELERA;44.18
201005;OCUPA_HOTELERA;44.17
201004;OCUPA_HOTELERA;47.94
201003;OCUPA_HOTELERA;51.83
201002;OCUPA_HOTELERA;45.5
201001;OCUPA_HOTELERA;51.78
200912;OCUPA_HOTELERA;51.98
200911;OCUPA_HOTELERA;50.46
200910;OCUPA_HOTELERA;47.37
200909;OCUPA_HOTELERA;54.53
200908;OCUPA_HOTELERA;55.82
200907;OCUPA_HOTELERA;51.71
200906;OCUPA_HOTELERA;41.78
200905;OCUPA_HOTELERA;38.65
200904;OCUPA_HOTELERA;42.39
200903;OCUPA_HOTELERA;46.57
200902;OCUPA_HOTELERA;39.9
200901;OCUPA_HOTELERA;48.31
200812;OCUPA_HOTELERA;53.99
200811;OCUPA_HOTELERA;53.33
200810;OCUPA_HOTELERA;547.0
200809;OCUPA_HOTELERA;55.93
200808;OCUPA_HOTELERA;675.0
200807;OCUPA_HOTELERA;58.31
200806;OCUPA_HOTELERA;50.95
200805;OCUPA_HOTELERA;55.3
200804;OCUPA_HOTELERA;57.53
200803;OCUPA_HOTELERA;499.0
200802;OCUPA_HOTELERA;52.51
200801;OCUPA_HOTELERA;55.47
200712;OCUPA_HOTELERA;53.38
200711;OCUPA_HOTELERA;58.17
200710;OCUPA_HOTELERA;56.83
200709;OCUPA_HOTELERA;58.15
200708;OCUPA_HOTELERA;65.85
200707;OCUPA_HOTELERA;65.54
200706;OCUPA_HOTELERA;58.9
200705;OCUPA_HOTELERA;59.95
200704;OCUPA_HOTELERA;59.28
200703;OCUPA_HOTELERA;57.93
200702;OCUPA_HOTELERA;57.65
200701;OCUPA_HOTELERA;55.75
